id,fid,queimada,latitude,longitude,epsg,swir22_last,nir08_last,ndvi_last
798909,798909,1,-15.7749937389741,-47.504146424870655,4326,944,2305,6278
799906,799906,1,-15.775563074120392,-47.503179637681065,4326,1170,1044,2700
800904,800904,1,-15.775574277628658,-47.50220599676936,4326,1242,985,2539
801640,801640,1,-15.921814093558194,-47.50303516930993,4326,3355,3401,2013
802638,802638,1,-15.921825397450329,-47.50206082684949,4326,2679,1678,2063
803637,803637,1,-15.92127857586189,-47.50107957224082,4326,2716,1848,2122
805249,805249,1,-15.578597240676196,-47.49591491006054,4326,2106,1579,1388
806247,806247,1,-15.57860827588523,-47.49494219685732,4326,1643,1043,1679
807245,807245,1,-15.57861930680304,-47.493969482878455,4326,1606,1018,1694
808244,808244,1,-15.578072191364868,-47.49299003426153,4326,1824,1277,1769
809242,809242,1,-15.57808321328586,-47.49201732135275,4326,1606,926,1833
811239,811239,1,-15.577547100905653,-47.490065168412976,4326,1714,1193,1730
811617,811617,1,-15.923601307972824,-47.49331237986855,4326,3137,4038,2524
812616,812616,1,-15.923054444468391,-47.4923311335228,4326,2751,2010,1703
813613,813613,1,-15.923623826044338,-47.49136366242609,4326,2802,2189,1746
814611,814611,1,-15.923635078493351,-47.49038930253564,4326,2156,1205,1913
815609,815609,1,-15.92364632655117,-47.48941494186612,4326,2069,1059,1892
816609,816609,1,-15.92254131739768,-47.4884268261502,4326,2195,1207,1998
817608,817608,1,-15.921994428972848,-47.48744559525668,4326,2070,1253,1693
819342,819342,1,-15.511215367271136,-47.48148761927379,4326,3003,2354,1814
820264,820264,1,-15.553645670849464,-47.4810228305183,4326,2019,2227,3509
821263,821263,1,-15.553098474287626,-47.48004353682384,4326,2246,2099,2210
822257,822257,1,-15.555342018732242,-47.47909766873959,4326,2558,2306,1774
823255,823255,1,-15.555352963683864,-47.47812505236409,4326,2126,1453,1808
824252,824252,1,-15.55592205430855,-47.47715911515817,4326,1647,959,1810
825250,825250,1,-15.555932991102363,-47.47618649462655,4326,1802,1090,1651
826248,826248,1,-15.555943923611276,-47.475213873325416,4326,1786,1109,1723
827245,827245,1,-15.556513002996482,-47.47424792361544,4326,2131,2000,1876
828243,828243,1,-15.5565239273467,-47.47327529815984,4326,1817,1769,2414
829136,829136,1,-15.61514064190643,-47.47300421944639,4326,1386,1291,3419
830135,830135,1,-15.614593451704238,-47.47202462435443,4326,1371,880,2316
831132,831132,1,-15.61516255546463,-47.47105841407238,4326,1726,978,2411
832127,832127,1,-15.616847955465833,-47.47010557445119,4326,1256,764,1497
833125,833125,1,-15.616858902721445,-47.469132661959314,4326,1451,965,2387
834125,834125,1,-15.615753544280045,-47.468146382795126,4326,1403,979,1895
835127,835127,1,-15.613531877306714,-47.46714675595344,4326,2139,1179,2018
836125,836125,1,-15.613542809204333,-47.46617385599164,4326,1558,663,1924
837123,837123,1,-15.613553736789784,-47.46520095619467,4326,1852,991,2152
838123,838123,1,-15.612448355025744,-47.46421471397304,4326,2131,1013,2437
839122,839122,1,-15.611901120208412,-47.46323515009814,4326,2023,960,2198
840121,840121,1,-15.6113538802397,-47.46225559097953,4326,1693,762,2240
841119,841119,1,-15.611364788981131,-47.461282698625325,4326,1745,855,2266
842120,842120,1,-15.609701230517675,-47.46028982816637,4326,1437,969,1809
846460,846460,1,-15.972550797258938,-47.45980171855709,4326,2336,2569,3310
847457,847457,1,-15.973120076782672,-47.45883391672376,4326,2250,1543,1970
848455,848455,1,-15.973131215939638,-47.4578592936973,4326,1975,1353,1780
849453,849453,1,-15.973142350701314,-47.456884668967554,4326,2000,1351,1939
850452,850452,1,-15.972595343448322,-47.45590323476197,4326,1881,1153,1856
851450,851450,1,-15.972606468978464,-47.45492861212333,4326,2128,1278,1461
852448,852448,1,-15.972617590102754,-47.45395398871601,4326,2106,1635,2079
853450,853450,1,-15.970396151207115,-47.45295216102066,4326,2387,1504,1658
854448,854448,1,-15.97040726188605,-47.45197754685902,4326,2651,1589,1735
855445,855445,1,-15.970976507927483,-47.45100972701501,4326,2790,1675,1742
856443,856443,1,-15.970987610203997,-47.45003510862279,4326,2793,1585,1854
857440,857440,1,-15.971556848627076,-47.4490672794267,4326,2866,1665,1931
858438,858438,1,-15.97156794250045,-47.44809265680495,4326,2850,1627,1837
859437,859437,1,-15.971020890600826,-47.447111248844415,4326,2440,1237,1769
860435,860435,1,-15.971031975255489,-47.44613662738541,4326,2663,1383,1937
861431,861431,1,-15.972159339837066,-47.445175563791054,4326,2662,1353,1847
862428,862428,1,-15.972728559020696,-47.44420771243122,4326,2890,1666,2024
863425,863425,1,-15.973297774591268,-47.443239854248894,4326,2950,1711,2015
864424,864424,1,-15.97275069994317,-47.44225844704664,4326,2675,1359,1936
865420,865420,1,-15.973878051187205,-47.441297352346695,4326,2556,1369,1776
866416,866416,1,-15.975005399524251,-47.440336247169554,4326,2785,2213,2166
